,policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density
0,ID00001,0.515873589958172,0.05,0.644230769230769,C1,4990.0
1,ID00002,0.672618513547733,0.02,0.375,C2,27003.0
2,ID00003,0.841110255796233,0.02,0.384615384615385,C3,4076.0
3,ID00004,0.900276558749967,0.11,0.432692307692308,C4,21622.0
4,ID00005,0.596402813108729,0.11,0.634615384615385,C5,34738.0
5,ID00006,1.01870853782142,0.07,0.519230769230769,C6,13051.0
6,ID00007,0.097992157807911,0.16,0.403846153846154,C7,6112.0
7,ID00008,0.509084671398517,0.14,0.423076923076923,C8,8794.0
8,ID00009,0.282393518287139,0.07,0.298076923076923,C7,6112.0
9,ID00010,0.566255432742967,0.04,0.442307692307692,C9,17804.0
10,ID00011,0.951416171038409,0.01,0.596153846153846,C5,34738.0
11,ID00012,0.083180015193718,0.12,0.298076923076923,C3,4076.0
12,ID00013,0.045833998629361,0.03,0.480769230769231,C3,4076.0
13,ID00014,0.520336974243094,0.1,0.307692307692308,C10,73430.0
14,ID00015,,,,,6108.0
15,ID00016,,,,,34738.0
16,ID00017,,,,,27003.0
17,ID00018,,,,,17804.0
18,ID00019,0.29596672924548,0.12,0.5,C8,8794.0
19,ID00020,0.758622595499839,0.09,0.394230769230769,C5,34738.0
20,ID00021,0.301701571681352,0.05,0.403846153846154,C11,6108.0
21,ID00022,0.52708521732645,0.0,0.615384615384615,C4,21622.0
22,ID00023,0.630598331981702,0.08,0.317307692307692,C2,27003.0
23,ID00024,0.9994432598619,0.08,0.576923076923077,C2,27003.0
24,ID00025,0.020562619827824,0.01,0.480769230769231,C8,8794.0
25,ID00026,0.240958873827854,0.07,0.317307692307692,C3,4076.0
26,ID00027,0.775663608257866,0.02,0.375,C11,6108.0
27,ID00028,0.524680615199982,0.15,0.394230769230769,C2,27003.0
28,ID00029,0.543358190546491,0.07,0.326923076923077,C2,27003.0
29,ID00030,1.12453811173832,0.07,0.490384615384615,C8,8794.0
30,ID00031,1.10272894796331,0.12,0.298076923076923,C12,34791.0
31,ID00032,1.14674120394377,0.13,0.461538461538462,C3,4076.0
32,ID00033,0.796578491346942,0.02,0.461538461538462,C1,4990.0
33,ID00034,0.530241345037964,0.15,0.480769230769231,C10,73430.0
34,ID00035,0.468720628618515,0.01,0.403846153846154,C2,27003.0
35,ID00036,1.19393629755259,0.39,0.403846153846154,C8,8794.0
36,ID00037,0.758760266249934,0.01,0.384615384615385,C5,34738.0
37,ID00038,1.15240385138065,0.08,0.490384615384615,C13,5410.0
38,ID00039,1.12413817796631,0.12,0.403846153846154,C8,8794.0
39,ID00040,0.128866091754693,0.02,0.576923076923077,C3,4076.0
40,ID00041,0.247247659283987,0.08,0.471153846153846,C8,8794.0
41,ID00042,0.112364879218963,0.0,0.384615384615385,C3,4076.0
